Transaction,Item,date_time,period_day,weekday_weekend,day_of_week
154,Coke,10/31/2016 14:00,afternoon,weekday,Monday
155,Tea,10/31/2016 14:01,afternoon,weekday,Monday
155,Muffin,10/31/2016 14:01,afternoon,weekday,Monday
155,Sandwich,10/31/2016 14:01,afternoon,weekday,Monday
156,Coffee,10/31/2016 14:04,afternoon,weekday,Monday
156,Muffin,10/31/2016 14:04,afternoon,weekday,Monday
157,Coffee,10/31/2016 14:05,afternoon,weekday,Monday
157,Bread,10/31/2016 14:05,afternoon,weekday,Monday
158,Coffee,10/31/2016 14:20,afternoon,weekday,Monday
158,Muffin,10/31/2016 14:20,afternoon,weekday,Monday
159,Bread,10/31/2016 14:22,afternoon,weekday,Monday
159,Hot chocolate,10/31/2016 14:22,afternoon,weekday,Monday
159,Cookies,10/31/2016 14:22,afternoon,weekday,Monday
160,Mineral water,10/31/2016 14:35,afternoon,weekday,Monday
160,Muffin,10/31/2016 14:35,afternoon,weekday,Monday
161,Tea,10/31/2016 14:42,afternoon,weekday,Monday
162,Muffin,10/31/2016 14:44,afternoon,weekday,Monday
163,Coffee,10/31/2016 14:47,afternoon,weekday,Monday
163,Juice,10/31/2016 14:47,afternoon,weekday,Monday
164,Coffee,10/31/2016 14:47,afternoon,weekday,Monday
164,Muffin,10/31/2016 14:47,afternoon,weekday,Monday
165,Tea,10/31/2016 14:48,afternoon,weekday,Monday
166,Coffee,10/31/2016 14:49,afternoon,weekday,Monday
166,Muffin,10/31/2016 14:49,afternoon,weekday,Monday
167,Sandwich,10/31/2016 14:50,afternoon,weekday,Monday
167,Hearty & Seasonal,10/31/2016 14:50,afternoon,weekday,Monday
167,Bread,10/31/2016 14:50,afternoon,weekday,Monday
167,Mineral water,10/31/2016 14:50,afternoon,weekday,Monday
168,Tea,10/31/2016 14:56,afternoon,weekday,Monday
168,Coffee,10/31/2016 14:56,afternoon,weekday,Monday
169,Mineral water,10/31/2016 15:05,afternoon,weekday,Monday
170,Coffee,10/31/2016 15:16,afternoon,weekday,Monday
171,Soup,10/31/2016 15:20,afternoon,weekday,Monday
171,Tea,10/31/2016 15:20,afternoon,weekday,Monday
172,Bread,10/31/2016 17:06,evening,weekday,Monday
172,Coffee,10/31/2016 17:06,evening,weekday,Monday
173,Bread,10/31/2016 17:08,evening,weekday,Monday
173,Muffin,10/31/2016 17:08,evening,weekday,Monday
174,Coffee,10/31/2016 17:40,evening,weekday,Monday
175,Bread,10/31/2016 17:49,evening,weekday,Monday
176,Cookies,10/31/2016 18:22,evening,weekday,Monday
176,Coffee,10/31/2016 18:22,evening,weekday,Monday
178,Coffee,11/01/2016 7:51,morning,weekday,Tuesday
178,Pastry,11/01/2016 7:51,morning,weekday,Tuesday
179,Coffee,11/01/2016 8:20,morning,weekday,Tuesday
179,Pastry,11/01/2016 8:20,morning,weekday,Tuesday
180,Jam,11/01/2016 8:22,morning,weekday,Tuesday
180,Tea,11/01/2016 8:22,morning,weekday,Tuesday
181,Tea,11/01/2016 8:45,morning,weekday,Tuesday
181,Tea,11/01/2016 8:45,morning,weekday,Tuesday
182,Pastry,11/01/2016 9:07,morning,weekday,Tuesday
182,Pastry,11/01/2016 9:07,morning,weekday,Tuesday
182,Ella's Kitchen Pouches,11/01/2016 9:07,morning,weekday,Tuesday
183,Pastry,11/01/2016 9:09,morning,weekday,Tuesday
184,Farm House,11/01/2016 9:26,morning,weekday,Tuesday
184,Tea,11/01/2016 9:26,morning,weekday,Tuesday
185,Tea,11/01/2016 9:29,morning,weekday,Tuesday
185,Victorian Sponge,11/01/2016 9:29,morning,weekday,Tuesday
186,Tea,11/01/2016 9:43,morning,weekday,Tuesday
186,Pastry,11/01/2016 9:43,morning,weekday,Tuesday
187,Bread,11/01/2016 10:02,morning,weekday,Tuesday
188,Coffee,11/01/2016 10:04,morning,weekday,Tuesday
189,Bread,11/01/2016 10:29,morning,weekday,Tuesday
189,Coffee,11/01/2016 10:29,morning,weekday,Tuesday
190,Coffee,11/01/2016 10:34,morning,weekday,Tuesday
190,Pastry,11/01/2016 10:34,morning,weekday,Tuesday
190,Pastry,11/01/2016 10:34,morning,weekday,Tuesday
191,Soup,11/01/2016 10:50,morning,weekday,Tuesday
191,Tea,11/01/2016 10:50,morning,weekday,Tuesday
192,Bread,11/01/2016 10:56,morning,weekday,Tuesday
193,Coffee,11/01/2016 11:00,morning,weekday,Tuesday
194,Bread,11/01/2016 11:04,morning,weekday,Tuesday
194,Bread,11/01/2016 11:04,morning,weekday,Tuesday
195,Bread,11/01/2016 11:06,morning,weekday,Tuesday
195,Scandinavian,11/01/2016 11:06,morning,weekday,Tuesday
196,Bread,11/01/2016 11:08,morning,weekday,Tuesday
196,Cake,11/01/2016 11:08,morning,weekday,Tuesday
196,Cookies,11/01/2016 11:08,morning,weekday,Tuesday
197,Coffee,11/01/2016 11:10,morning,weekday,Tuesday
197,Coffee,11/01/2016 11:10,morning,weekday,Tuesday
197,Tea,11/01/2016 11:10,morning,weekday,Tuesday
198,Coffee,11/01/2016 11:11,morning,weekday,Tuesday
198,Cookies,11/01/2016 11:11,morning,weekday,Tuesday
199,Coffee,11/01/2016 11:13,morning,weekday,Tuesday
200,Bread,11/01/2016 11:16,morning,weekday,Tuesday
201,Coffee,11/01/2016 11:22,morning,weekday,Tuesday
201,Pastry,11/01/2016 11:22,morning,weekday,Tuesday
202,Coffee,11/01/2016 11:23,morning,weekday,Tuesday
202,Coffee,11/01/2016 11:23,morning,weekday,Tuesday
203,Coffee,11/01/2016 11:25,morning,weekday,Tuesday
204,Scandinavian,11/01/2016 11:30,morning,weekday,Tuesday
204,Bread,11/01/2016 11:30,morning,weekday,Tuesday
205,Coffee,11/01/2016 11:49,morning,weekday,Tuesday
205,Coffee,11/01/2016 11:49,morning,weekday,Tuesday
205,Pastry,11/01/2016 11:49,morning,weekday,Tuesday
206,Scandinavian,11/01/2016 11:54,morning,weekday,Tuesday
206,Coffee,11/01/2016 11:54,morning,weekday,Tuesday
206,Pastry,11/01/2016 11:54,morning,weekday,Tuesday
207,Hearty & Seasonal,11/01/2016 12:03,afternoon,weekday,Tuesday
207,Coffee,11/01/2016 12:03,afternoon,weekday,Tuesday
207,Muffin,11/01/2016 12:03,afternoon,weekday,Tuesday
208,Bread,11/01/2016 12:10,afternoon,weekday,Tuesday
209,Coffee,11/01/2016 12:10,afternoon,weekday,Tuesday
210,Scandinavian,11/01/2016 12:12,afternoon,weekday,Tuesday
211,Soup,11/01/2016 12:15,afternoon,weekday,Tuesday
211,Coffee,11/01/2016 12:15,afternoon,weekday,Tuesday
212,Coffee,11/01/2016 12:20,afternoon,weekday,Tuesday
212,Cookies,11/01/2016 12:20,afternoon,weekday,Tuesday
212,Tartine,11/01/2016 12:20,afternoon,weekday,Tuesday
213,Bread,11/01/2016 12:22,afternoon,weekday,Tuesday
214,Bread,11/01/2016 12:26,afternoon,weekday,Tuesday
214,Tea,11/01/2016 12:26,afternoon,weekday,Tuesday
214,Tea,11/01/2016 12:26,afternoon,weekday,Tuesday
215,Pastry,11/01/2016 12:30,afternoon,weekday,Tuesday
215,Coffee,11/01/2016 12:30,afternoon,weekday,Tuesday
216,Tartine,11/01/2016 12:31,afternoon,weekday,Tuesday
216,Coffee,11/01/2016 12:31,afternoon,weekday,Tuesday
217,Bread,11/01/2016 12:33,afternoon,weekday,Tuesday
217,Cookies,11/01/2016 12:33,afternoon,weekday,Tuesday
218,Sandwich,11/01/2016 12:37,afternoon,weekday,Tuesday
219,Tartine,11/01/2016 12:41,afternoon,weekday,Tuesday
220,Bread,11/01/2016 12:49,afternoon,weekday,Tuesday
220,Pastry,11/01/2016 12:49,afternoon,weekday,Tuesday
221,Bread,11/01/2016 12:53,afternoon,weekday,Tuesday
221,Scandinavian,11/01/2016 12:53,afternoon,weekday,Tuesday
